,ruid,sum(rb)
621,14225,309931518337.0
622,14143,28719628020.0
623,97748,3179235754312.0
624,55166,4000163027597.0
625,30274,1638667166512100.0
626,34955,580528623430764.0
627,68503,4183465557.0
628,72023,19552237935398.0
629,35433,223753386841126.0
630,31082,29771354498318.0
631,88688,549229046902.0
632,102607,7672737549.0
633,27557,935096824.0
634,40387,3441567786.0
635,8273,3219410799807763.0
636,32197,461166631725399.0
637,11792,9984359328480.0
638,23836,30360920835901.0
639,72964,13571494938636.0
640,100127,5484303732.0
641,28096,1378967066709.0
642,63115,7829065313230.0
643,80854,246879358262.0
644,39578,14037122399768.0
645,38649,15861778781.0
646,83667,16177309765979.0
647,71022,9967446491411.0
648,50013,3552141155610.0
649,105564,41150492323.0
650,44355,572581337.0
651,103843,754051116.0
652,24850,7071911856.0
653,22095,5283326.0
654,8563,107034060436823.0
655,82340,32945514679658.0
656,93014,4007807664153.0
657,103008,18730305059002.0
658,69939,48323352739.0
659,95385,103978614.0
660,38513,4097377997613.0
661,88708,259207467.0
662,14038,43521079659062.0
663,80494,102191294691593.0
664,38617,44109841124075.0
665,31567,1267198489542.0
666,57170,78716627674718.0
667,8912,11709947348222.0
668,9655,3027077525726.0
669,18052,121553325826021.0
670,57880,13765842731498.0
671,74794,103626316698.0
672,28595,318907043.0
673,56671,1179648.0
674,74914,188963000793509.0
675,57781,7817191620841.0
676,1856,6289798858794.0
677,78938,249976045613.0
678,96640,529770934973.0
679,50698,40455735792555.0
680,41951,12564033150.0
681,102392,132957624386.0
682,13624,18798669484420.0
683,35964,2831300454.0
684,54845,176399716.0
685,28677,9472705944.0
686,9327,135034835.0
687,35059,5612767499.0
688,61765,81912948853287.0
689,60058,23150720595375.0
690,79860,82611951333614.0
691,54649,53787928113543.0
692,81144,99736008854.0
693,103031,1.1786002647961122e+16
694,9596,43457253964.0
695,47865,2340680065217.0
696,81861,183275148530.0
697,97840,5138360242229.0
698,102316,5682279286.0
699,57622,762104906352.0
700,101823,578356511702.0
701,83400,4257566099662.0
702,80058,47149056.0
703,32627,18087282991746.0
704,60856,1501525793090.0
705,68621,76083183752943.0
706,28489,1839445579161.0
707,25097,22125239565.0
708,34806,132555595369.0
709,51826,4212193100081.0
710,101189,1117137622.0
711,56107,4851791947045.0
712,16187,37886025480.0
