,ruid,count
1056,89460,913
1057,23988,8
1058,48694,62666
1059,99122,2
1060,14504,592
1061,13614,2
1062,1494,4
1063,20744,625547
1064,19443,11887528
1065,50832,1202699
1066,70415,1780568
1067,97698,84816
1068,36893,10516
1069,46684,53472
1070,70663,20301
1071,92047,30
1072,93529,633
1073,19256,21
1074,21502,9191
1075,8324,197157
1076,68502,58856
1077,3169,61571
1078,102656,6618
1079,61071,5207
1080,93404,2385
1081,75258,8268
1082,70835,108
1083,11667,93
1084,89553,16938
1085,44856,83819
1086,70259,62277
1087,77877,2389
1088,51347,6492
1089,9368,1255
1090,42090,164474
1091,35920,721
1092,5627,610
1093,9002,4985
1094,50251,5589
1095,100340,117
1096,50877,2761
1097,91761,15
1098,50564,749114
1099,24212,20205
1100,70775,7203
1101,51940,6328
1102,90846,1210
1103,11235,17393
1104,14394,406
1105,75421,24
1106,24921,11
1107,93494,6
1108,53111,4567863
1109,2814,1661919
1110,15142,36748353
1111,94770,3364
1112,47862,756983
1113,77983,24048
1114,8572,58975
1115,85490,4
1116,30993,451737
1117,81686,350
1118,51425,15172
1119,58746,82204
1120,14027,25416
1121,92877,35323
1122,74296,5582
1123,88624,107783
1124,27714,100
1125,97452,64
1126,62857,81603
1127,33877,725528
1128,33244,126392
1129,5393,1516
1130,20196,5736
1131,55583,3960
1132,69815,599
1133,49928,6435
1134,35693,41698
1135,102658,71
1136,103463,103905
1137,1230,2603536
1138,59714,55091
1139,6470,733787
1140,13010,55735
1141,18569,5635
1142,74642,10093
1143,48999,74
1144,48146,113912
1145,71681,381800
1146,5362,231
1147,103676,23
1148,1607,12
1149,5058,103284
1150,37936,79888
1151,89859,305772
1152,11410,39755
1153,101693,603
1154,34016,66846
1155,92084,507
1156,17096,6
1157,32146,5666583
1158,37518,19473
1159,34659,38533
1160,23875,1301
1161,92624,15199
1162,55436,15354
1163,91372,99
1164,69827,177
1165,60069,550466
1166,12915,283927
1167,5407,161454
1168,16557,135127
1169,78722,1206363
1170,48939,15776
1171,94625,330
1172,38262,46618
1173,70336,1
1174,24211,151161
1175,85831,3807
1176,72091,363161
1177,9880,186644
1178,42987,1422
1179,47670,35
1180,102503,33
1181,26987,5917
1182,106474,12
1183,55582,2
1184,106525,2
1185,79635,1255377
